road_network = {
	2478 = 2419		
	#Eagalia roads:
	2548 = 2520	
	2951 = 3037		
	2592 = 2519		
	2665 = 2592		
	2820 = 2781		
	2709 = 2762	
	2762 = 2815	
	2815 = 2809		
	2478 = 2495		
	2495 = 2515		
	2515 = 2547		
	2419 = 2444		
	2444 = 2409	
	2409 = 2470		
	2470 = 2467		
	2467 = 2482		
	2338 = 2467		
	2338 = 2385	
	2338 = 2339
	2339 = 2385
	2339 = 2348
	2348 = 2306	
	2306 = 2322
	2322 = 2340
	2322 = 2345
	2345 = 2359		
	2359 = 2323	
	2482 = 2385	
	2340 = 2411
	2359 = 2479
	2479 = 2603		
	2519 = 2603	
	2603 = 2582		
	2582 = 2670
	2670 = 2757
	2757 = 2797		
	2797 = 2831	
	2831 = 2917		
	2951 = 2917		
	2917 = 2957		
	2957 = 3043
	3043 = 3028
	3028 = 2997		
	2997 = 2927	
	2927 = 2905		
	2905 = 2864	
	3043 = 3037	
	3028 = 3040
	3040 = 2998
	2998 = 2976	
	2976 = 2999	
	2999 = 2874
	2874 = 2864	
	2874 = 2882	
	2882 = 2865	
	2865 = 2839	
	2832 = 2706	
	2706 = 2604	
	2604 = 2570
	2570 = 2565
	2565 = 2503
	2503 = 2488		
	2488 = 2434		
	2434 = 2367
	2367 = 2341
	2341 = 2259		
	2259 = 2240			
	2240 = 2218		
	2218 = 2273
	2273 = 2206
	2206 = 2180		
	2180 = 2138			
	2138 = 2160		
	2160 = 2130
	2130 = 2087
	2087 = 2026		
	2026 = 1954		
	1954 = 1919		
	1919 = 1890
	1890 = 1882
	1882 = 1857		
	1857 = 1832		
	1832 = 1811		
	1811 = 1802
	1802 = 1788
	1788 = 1771		
	1771 = 1762	
	1762 = 1766		
	1836 = 1762
	1766 = 1742
	1742 = 1743		
	1743 = 1689	
	1703 = 1689	
	1689 = 1640		
	1640 = 1592
	1592 = 1536
	2419 = 2512		
	2512 = 2602	
	2602 = 2538	
	2538 = 2634		
	2634 = 2643
	2643 = 2683
	2683 = 2665		
	2665 = 2756	
	2756 = 2816	
	2816 = 2932		
	2932 = 2996
	3027 = 3091		
	3091 = 3037	
	3145 = 3202		
	3202 = 3257
	3257 = 3297
	3297 = 3293	
	2816 = 2904	
	2904 = 2931		
	2931 = 3026
	3293 = 3376
	3376 = 3430	
	3430 = 3409	
	3409 = 3399	
	3399 = 3455		
	3455 = 3420
	3420 = 3367
	3367 = 3303	
	3303 = 3337	
	3303 = 3215	
	2175 = 2110		
	2110 = 2086
	2086 = 2134
	2175 = 2155
	2155 = 2134	
	2478 = 2564	
	2564 = 2620	
	2620 = 2678		
	2678 = 2709
	2809 = 2885
	2885 = 2862	
	2862 = 2886	
	2862 = 2820	
	2820 = 2744	
	2744 = 2634	
	2886 = 2963
	2963 = 3024
	3024 = 3076	
	3076 = 3115	
	3115 = 3151	
	3151 = 3073	
	3073 = 3026	
